Minimum Sense Count,Maximum Sense Count,Mean Sense Count,Minimum Fitness,Maximum Fitness,Mean Fitness,Minimum Guess0 Count,Maximum Guess0 Count,Mean Guess0 Count,Minimum Guess1 Count,Maximum Guess1 Count,Mean Guess1 Count
0,31.52,1.16646,-100,53,44.513,0,49.76,2.14552,0,34.9,2.07222
0,50.26,1.19826,-100,56,45.594,0,49.6,2.35558,0,38.68,2.09154
0,17.58,1.09242,-100,58,44.597,0,49.84,2.21396,0,44.9,2.24502
0,23.12,1.15542,-100,55,43.353,0,50.18,2.20918,0,44,2.07316
0,23.3,1.2229,-100,56,44.775,0,50.36,2.055,0,39.04,2.19006
0,26.38,1.20198,-100,57,45.571,0,50.04,1.88034,0,43.66,2.1148
0,75.32,1.20102,-100,58,44.443,0,49.8,1.7823,0,30.56,2.06242
0,26.26,1.01396,-100,51,44.071,0,49.46,1.84922,0,38.1,2.31264
0,26.02,0.96782,-100,52,46.533,0,38.42,1.82982,0,37.92,2.40264
0,26.32,0.995,-100,51,45.633,0,38.7,1.84728,0,33.82,2.2416
0,26.2,0.95696,-100,55,46.553,0,38.62,2.03536,0,33.64,2.0327
0,26.02,0.9468,-100,58,45.869,0,38.72,2.11228,0,33.76,2.0148
0,26.4,0.93408,-100,59,45.197,0,37.5,2.04184,0,33.52,2.04666
0,26.24,0.938,-100,51,44.727,0,50.48,1.94162,0,38.6,2.19188
0,44.12,0.84882,-100,52,45.203,0,50.68,1.87632,0,37.96,2.2511
0,37.44,0.95164,-100,56,45.066,0,50.72,1.83466,0,50.56,2.55628
0,37.76,1.03096,-100,56,46.553,0,50.8,1.90194,0,43.46,2.4499
0,37.86,1.04988,-100,56,44.523,0,51.32,1.87264,0,43.44,2.38926
0,37.56,1.02862,-100,55,45.784,0,43.26,1.90034,0,43.52,2.45736
0,37.7,1.11592,-100,60,46.01,0,51.22,1.90734,0,43.48,2.49494
0,37.52,1.04916,-100,54,44.904,0,50.94,2.0203,0,43.26,2.4574
0,34.22,0.97902,-100,58,46.867,0,43.38,1.97094,0,43.14,2.14574
0,34.44,0.956,-100,61,46.759,0,73.1,2.10498,0,43.36,2.28766
0,38.58,0.97834,-100,51,45.319,0,38.54,1.95018,0,43.3,2.37116
0,38.66,1.01316,-100,54,46.108,0,38.68,1.94076,0,65.42,2.55532
0,24.9,0.94254,-100,54,45.931,0,26.04,1.95884,0,66.36,2.8573
0,18.72,0.78746,-100,52,45.298,0,44.12,2.01658,0,65.84,3.20546
0,51.16,0.904,-100,62,45.731,0,38.1,1.88544,0,66.1,3.49794
0,18.88,0.78514,-100,59,43.928,0,37.94,2.04064,0,66.08,3.27368
0,26.8,0.88708,-100,58,45.716,0,38.14,2.12818,0,51.52,3.2912
0,26.8,0.95288,-100,59,44.458,0,28.66,1.8494,0,51.62,2.9862
0,50.86,1.02214,-100,56,44.968,0,43.32,1.98026,0,51.6,3.15664
0,26.9,0.84898,-100,58,45.198,0,38.12,1.86208,0,57.02,3.30586
0,26.74,0.96462,-100,57,44.821,0,37.8,1.64942,0,56.84,2.9994
0,26.44,0.87912,-100,58,45.363,0,25.62,1.71744,0,51.66,2.90516
0,50.34,0.94446,-100,62,45.815,0,25.04,1.57048,0,51.52,3.03328
0,30.64,0.89172,-100,55,45.489,0,50.62,1.67232,0,64.32,3.20494
0,30.82,0.93178,-100,59,46.988,0,50.38,1.71942,0,51.88,3.2175
0,51.48,0.88262,-100,60,45.309,0,50.52,1.8553,0,51.5,2.97052
0,50.76,1.01206,-100,62,46.074,0,50.64,2.05326,0,75.6,3.63806
0,51.42,0.902,-100,56,45.947,0,50.7,2.22614,0,75.92,3.9462
0,51.2,0.91648,-100,59,45.618,0,50.4,2.0343,0,75.82,4.21554
0,51.12,0.99596,-100,59,46.831,0,35.94,1.77944,0,76.12,4.20466
0,51.4,1.01958,-100,52,46.381,0,30.24,1.6862,0,76.5,4.3364
0,51.14,1.15554,-100,60,47.317,0,25.22,1.69484,0,76.5,4.4517
0,51.24,1.0971,-100,58,44.748,0,25.24,1.7504,0,75.98,3.99488
0,51.32,1.0716,-100,57,48.058,0,25.08,1.8661,0,76.12,3.79464
0,51.08,1.14548,-100,54,46.02,0,33.28,1.88342,0,65.18,3.95916
0,50.94,1.18094,-100,56,45.356,0,32.92,2.04928,0,64.96,4.13734
0,50.72,1.10884,-100,59,46.464,0,50.22,2.13504,0,51.36,3.83024
0,50.82,1.02584,-100,55,46.051,0,51.02,2.26054,0,76.36,3.84466
0,51.26,1.04064,-100,55,46.392,0,51.14,2.25246,0,50.58,3.71598
0,38.06,0.98484,-100,55,45.325,0,50.64,2.0651,0,44.12,3.78392
0,38.08,1.00278,-100,54,46.844,0,51.62,2.13696,0,44.24,3.6557
0,37.72,1.14238,-100,57,46.681,0,52.84,2.4292,0,44.16,3.33732
0,30.02,1.09136,-100,56,46.36,0,51.2,2.08136,0,38.9,3.5147
0,29.7,1.19688,-100,60,46.663,0,50.62,1.82628,0,51.14,3.45784
0,29.72,1.21756,-100,58,46.096,0,50.28,1.81282,0,60.4,3.45806
0,29.84,1.17472,-100,58,46.53,0,42.32,1.76872,0,42.84,3.27634
0,29.96,1.2141,-100,51,47.435,0,37.44,1.66662,0,38.58,3.37176
0,49.5,1.2101,-100,50,46.094,0,41.98,1.7856,0,38.36,3.03644
0,49.82,1.34712,-100,51,46.096,0,42.02,1.88648,0,38.5,3.17928
0,75.08,1.36318,-100,51,44.88,0,76.82,2.02882,0,38.26,2.9327
0,30.04,1.30528,-100,50,46.228,0,30.86,1.96628,0,38.52,2.94362
0,51.2,1.45208,-100,53,44.898,0,51.3,2.058,0,38.86,2.96342
0,42.44,1.4145,-100,52,45.937,0,51.4,2.18184,0,38.54,3.04672
0,50.56,1.46788,-100,55,47.31,0,42.22,2.07968,0,38.7,3.03418
0,30.28,1.38116,-100,55,46.564,0,76.38,1.95886,0,38.9,2.8663
0,30.6,1.5575,-100,53,46.703,0,76.24,2.16888,0,38.62,2.75902
0,29.94,1.33378,-100,52,45.888,0,50.82,2.11048,0,38.7,2.48654
0,30.02,1.33926,-100,57,45.587,0,60.02,2.19826,0,38.68,2.19138
