Minimum Sense Count,Maximum Sense Count,Mean Sense Count,Minimum Fitness,Maximum Fitness,Mean Fitness,Minimum Guess0 Count,Maximum Guess0 Count,Mean Guess0 Count,Minimum Guess1 Count,Maximum Guess1 Count,Mean Guess1 Count
0,59.44,0.76356,-100,56,42.603,0,76.64,3.4392,0,76.54,1.4697
0,70.9,0.70768,-100,55,45.936,0,76.46,3.19048,0,75.78,1.65138
0,71.42,0.77346,-100,56,45.466,0,75.98,2.61036,0,75.92,1.76158
0,66.64,0.71018,-100,59,46.634,0,76.28,2.63624,0,75.76,1.9322
0,76.06,1.00014,-100,63,45.737,0,76.54,2.65384,0,76.4,1.96062
0,66.64,0.80136,-100,57,44.19,0,76.36,2.91298,0,76.3,2.45916
0,26.94,0.5843,-100,56,44.462,0,76.26,2.66488,0,76.06,2.11974
0,18.16,0.57388,-100,61,45.515,0,75.96,2.66138,0,76.28,2.24638
0,18.18,0.5804,-100,60,43.732,0,75.7,2.63164,0,76.5,2.24674
0,25.72,0.61284,-100,59,46.117,0,76.06,2.77372,0,76.36,2.61916
0,50.54,0.68654,-100,58,46.916,0,76.42,2.97564,0,76.16,2.58242
0,25.62,0.6733,-100,57,45.011,0,76.4,3.11024,0,76.5,2.9096
0,26.92,0.7928,-100,59,44.289,0,76.42,3.05842,0,76.12,2.89848
0,47.68,0.76712,-100,62,46.012,0,76.52,3.25014,0,76.4,3.00024
0,32.28,0.69178,-100,58,45.939,0,76.68,3.62972,0,75.7,2.7965
0,30.68,0.7001,-100,56,44.01,0,76.28,3.71956,0,75.44,2.6432
0,30.82,0.64478,-100,57,46.011,0,76.28,3.2361,0,76.32,2.65532
0,17.4,0.57036,-100,56,45.595,0,76.58,2.9187,0,60.7,2.40938
0,23.18,0.59414,-100,60,46.96,0,76.8,3.2122,0,38.16,2.4556
0,17.26,0.5759,-100,59,45.294,0,76.36,2.98894,0,64.5,2.4785
0,11.98,0.51444,-100,62,46.495,0,76.48,3.02956,0,60.54,2.5214
0,15.64,0.51282,-100,56,46.536,0,77.18,3.15708,0,50.9,2.63296
0,38.06,0.46588,-100,58,45.81,0,76.44,2.99302,0,50.24,2.58158
0,22.46,0.47464,-100,58,47.179,0,75.84,3.01618,0,50.04,2.76054
0,6,0.4869,-100,57,45.586,0,75.78,2.37842,0,51.32,2.42742
0,16.62,0.55154,-100,56,46.328,0,75.48,2.16396,0,50.48,2.35268
0,17.14,0.53586,-100,57,48.12,0,75.58,2.16428,0,50.78,2.31206
0,17.08,0.57382,-100,55,46.358,0,76.04,1.97028,0,50.62,2.47774
0,17.08,0.55778,-100,52,46.366,0,75.76,1.89608,0,50.46,2.33152
0,17.22,0.5702,-100,50,46.77,0,50.26,1.80206,0,50.72,2.65664
0,17.08,0.5998,-100,51,46.251,0,38.52,1.67098,0,75.9,2.89146
0,21.08,0.58644,-100,53,46.246,0,38.86,1.60798,0,76.26,2.9143
0,19.48,0.564,-100,51,46.399,0,38.56,1.46374,0,76.3,2.9195
0,38.96,0.58256,-100,57,45.666,0,23.96,1.34664,0,50.52,3.0118
0,51,0.74864,-100,64,45.063,0,26.12,1.28024,0,76.18,2.79144
0,38.78,0.70136,-100,51,45.938,0,26.08,1.30686,0,75.96,3.33608
0,38.76,0.6403,-100,51,44.898,0,51.34,1.38994,0,76.2,2.75126
0,38.76,0.6668,-100,53,46.705,0,51.1,1.5327,0,76.22,2.72968
0,33.92,0.71458,-100,57,45.25,0,51.5,1.43322,0,76.44,2.88316
0,19.54,0.60106,-100,57,45.487,0,51.28,1.63892,0,76.64,2.74528
0,26,0.60422,-100,50,46.397,0,100.98,1.77604,0,76.14,2.5246
0,19.36,0.57464,-100,53,45.953,0,101.84,1.81008,0,76.46,2.91498
0,22.26,0.70132,-100,54,45.055,0,101.64,1.7786,0,76.28,3.22688
0,34.6,0.69304,-100,62,44.593,0,102.44,2.14308,0,76.34,3.1242
0,34.56,0.69512,-100,62,45.959,0,101.46,1.99894,0,75.92,2.84034
0,34.6,0.65232,-100,50,47.794,0,101.52,1.70924,0,76.02,3.10862
0,34.52,0.62052,-100,57,46.561,0,101.92,1.61192,0,76,2.954
0,38.54,0.62708,-100,57,45.507,0,101.76,1.63058,0,76.02,2.94302
