Minimum Sense Count,Maximum Sense Count,Mean Sense Count,Minimum Fitness,Maximum Fitness,Mean Fitness,Minimum Function Calls,Maximum Function Calls,Mean Function Calls,Minimum Function Forks,Maximum Function Forks,Mean Function Forks,Minimum Function Calls & Forks,Maximum Function Calls & Forks,Mean Funciton Calls & Forks,Minimum Guess0 Count,Maximum Guess0 Count,Mean Guess0 Count,Minimum Guess1 Count,Maximum Guess1 Count,Mean Guess1 Count
0,78.94,7.75118,-100,94,50.342,0,4006,534.607,0,0,0,0,4006,534.607,0,20.42,3.03548,0,81.14,5.52382
0,78.96,7.80926,-100,91,49.466,0,8007,571.782,0,0,0,0,8007,571.782,0,22,3.07558,0,81.36,5.61838
0,78.58,7.56238,-100,83,51.403,0,7803,584.944,0,0,0,0,7803,584.944,0,22,3.07362,0,81.26,6.47146
0,79.38,7.6869,-100,82,51.782,0,7776,605.987,0,0,0,0,7776,605.987,0,26,3.06954,0,81.7,7.07778
0,52.78,7.95028,-100,97,51.871,0,4010,564.587,0,0,0,0,4010,564.587,0,26,3.07618,0,81.38,5.93676
0,78.98,7.86462,-100,97,52.282,0,4028,556.191,0,0,0,0,4028,556.191,0,26,3.02828,0,81.56,5.8278
0,49.76,7.84616,-100,90,53.118,0,7881,546.759,0,0,0,0,7881,546.759,0,23.06,2.87956,0,81.94,5.93948
0,39.46,7.95802,-100,86,53.094,0,4021,559.066,0,0,0,0,4021,559.066,0,24.24,3.13014,0,81.22,5.82682
0,78.14,8.31798,-100,95,53.48,0,8068,565.755,0,0,0,0,8068,565.755,0,24.6,3.13178,0,81.62,5.77864
0,78.84,7.73258,-100,99,52.732,0,4042,527.237,0,0,0,0,4042,527.237,0,40.6,3.03582,0,81.76,5.57776
0,54.04,7.22554,-100,103.84,50.8318,0,8070,514.93,0,0,0,0,8070,514.93,0,40.48,2.95036,0,81.52,5.46994
0,51.14,7.48314,-100,98,52.388,0,8036,529.483,0,0,0,0,8036,529.483,0,21.2,2.92366,0,81.48,5.68926
0,77.52,7.6207,-100,98,52.786,0,4023,540.016,0,0,0,0,4023,540.016,0,22.48,2.93708,0,81.32,5.79138
0,78.26,7.19314,-100,88,52.679,0,4020,511.731,0,0,0,0,4020,511.731,0,28.74,2.78688,0,81.46,5.78574
0,48.26,7.16386,-100,83,52.889,0,7905,555.688,0,0,0,0,7905,555.688,0,15.56,2.82214,0,81.62,6.07662
0,78.12,7.0409,-100,84,53.097,0,4020,519.107,0,0,0,0,4020,519.107,0,19.82,2.92936,0,107.96,6.2232
0,78.5,7.06804,-100,87,53.384,0,4023,516.551,0,0,0,0,4023,516.551,0,20.6,2.73042,0,108.36,5.66606
0,78.26,7.33592,-100,99,53.243,0,8000,579.665,0,0,0,0,8000,579.665,0,40.5,2.783,0,81.46,6.13226
0,78.32,7.05286,-100,93,54.579,0,4024,590.965,0,0,0,0,4024,590.965,0,41.22,2.815,0,81.54,6.36318
0,78.48,7.18498,-100,88,53.17,0,4004,585.556,0,0,0,0,4004,585.556,0,41.24,2.80198,0,81.12,5.91338
0,78.86,7.2306,-100,99,54.548,0,8021,627.688,0,0,0,0,8021,627.688,0,20.08,2.7343,0,81.7,6.3748
0,51.44,7.08054,-100,90,53.613,0,7713,600.255,0,0,0,0,7713,600.255,0,25.98,2.7397,0,81.34,5.83524
0,78.6,7.17278,-100,90,54.379,0,7057,604.076,0,0,0,0,7057,604.076,0,21.72,2.69464,0,108.4,5.67608
0,40.86,7.0283,-100,86,55.6,0,8087,583.75,0,0,0,0,8087,583.75,0,25.08,2.93454,0,81.34,5.22966
0,41.56,6.77256,-100,87,55.275,0,8081,574.264,0,0,0,0,8081,574.264,0,53.78,2.94236,0,81.44,4.98328
0,51.48,6.7833,-100,94,55.757,0,4027,570.277,0,0,0,0,4027,570.277,0,33.72,2.98708,0,81.54,5.1646
0,51.5,7.0835,-100,88,55.374,0,4028,556.883,0,0,0,0,4028,556.883,0,31.84,2.76538,0,81.48,5.15524
0,69.74,6.991,-100,87,55.909,0,4039,569.634,0,0,0,0,4039,569.634,0,31.42,2.68806,0,81.88,5.16964
0,69.88,7.18114,-100,86,56.535,0,4036,552.29,0,0,0,0,4036,552.29,0,33.66,2.61836,0,81.7,4.64574
0,26.68,6.84826,-100,103.58,56.0526,0,7982,573.758,0,0,0,0,7982,573.758,0,35.08,2.49834,0,81.66,4.99512
0,40.06,7.15708,-100,103.61,56.7896,0,8066,588.486,0,0,0,0,8066,588.486,0,27,2.58632,0,80.74,5.01548
0,72.26,6.89956,-100,97,56.273,0,8032,601.961,0,0,0,0,8032,601.961,0,27.22,2.52904,0,53.94,5.5826
0,75.98,7.04152,-100,95,56.05,0,7093,589.381,0,0,0,0,7093,589.381,0,26.94,2.69346,0,81.72,5.25306
0,54.36,7.0122,-100,89,55.431,0,4016,575.362,0,0,0,0,4016,575.362,0,32.36,2.57778,0,80.58,5.3617
0,38.44,7.10282,-100,87,58.062,0,3962,599.903,0,0,0,0,3962,599.903,0,32.7,2.64752,0,63.72,5.23172
0,31.48,7.10842,-100,99,57.976,0,7849,618.143,0,0,0,0,7849,618.143,0,33.26,2.6482,0,81.52,5.57926
0,39.08,7.40074,-100,99,57.677,0,7436,622.903,0,0,0,0,7436,622.903,0,32.78,2.6293,0,80.92,5.23938
0,36.14,7.33604,-100,95,58.021,0,4028,637.651,0,0,0,0,4028,637.651,0,19.36,2.66336,0,63.6,5.45072
0,32.08,7.20924,-100,97,56.968,0,4032,648.416,0,0,0,0,4032,648.416,0,21,2.50726,0,81.28,5.76678
0,31.54,7.54336,-100,103.56,57.9196,0,7733,663.532,0,0,0,0,7733,663.532,0,33.04,2.42592,0,81.1,6.2661
0,53.44,7.34228,-100,104,57.097,0,7747,657.478,0,0,0,0,7747,657.478,0,42.32,2.3545,0,81.22,6.40468
0,37.46,7.4531,-100,94,58.107,0,4025,652.329,0,0,0,0,4025,652.329,0,19.02,2.37588,0,81.26,6.29498
0,64.76,7.56364,-100,97,57.524,0,8060,694.61,0,0,0,0,8060,694.61,0,16.94,2.37506,0,81.68,6.56804
0,31.36,7.74948,-100,98,57.611,0,8018,695.025,0,0,0,0,8018,695.025,0,17.66,2.3629,0,81.3,6.07598
0,33.78,7.94516,-100,103.53,59.1805,0,6998,670.229,0,0,0,0,6998,670.229,0,19.92,2.31532,0,80.32,5.83264
0,52.2,7.9013,-100,98,56.304,0,8044,697.283,0,0,0,0,8044,697.283,0,53.38,2.3252,0,81.14,6.18246
0,45.96,7.94426,-100,96,57.324,0,8106,688.497,0,0,0,0,8106,688.497,0,17.5,2.2946,0,81.36,6.13054
0,76.44,7.78668,-100,99,56.966,0,6940,693.738,0,0,0,0,6940,693.738,0,15.78,2.16668,0,81.22,6.40312
0,39.4,7.93496,-100,88,58.062,0,7731,678.411,0,0,0,0,7731,678.411,0,16.4,2.24584,0,81.72,6.40004
0,77.7,8.11972,-100,96,57.6,0,4014,671.802,0,0,0,0,4014,671.802,0,21.96,2.27858,0,81.32,6.48732
0,78.14,8.25398,-100,98,59.452,0,4017,656.297,0,0,0,0,4017,656.297,0,40.48,2.36046,0,81.18,6.12424
0,40.74,8.45944,-100,97,59.14,0,4022,679.115,0,0,0,0,4022,679.115,0,40.44,2.48198,0,81.24,6.233
0,40.66,8.39786,-100,93,58.726,0,5171,675.618,0,0,0,0,5171,675.618,0,25.72,2.44328,0,81.34,6.18796
0,40.2,8.4238,-100,95,58.653,0,4019,668.867,0,0,0,0,4019,668.867,0,20.76,2.33098,0,81.54,5.79384
0,51.64,8.20776,-100,97,59.918,0,4013,658.05,0,0,0,0,4013,658.05,0,31.5,2.41556,0,81.3,5.94676
0,76.86,8.40228,-100,92,59.323,0,4005,693.669,0,0,0,0,4005,693.669,0,21.9,2.1176,0,81.08,6.14318
0,50.72,8.25962,-100,99,58.323,0,8085,708.538,0,0,0,0,8085,708.538,0,41.06,2.23076,0,81.36,5.97266
0,51.34,8.29456,-100,94,58.986,0,8062,711.815,0,0,0,0,8062,711.815,0,22.98,2.07318,0,81.84,6.17916
0,31.48,8.41522,-100,97,58.091,0,8037,704.249,0,0,0,0,8037,704.249,0,20.64,1.98844,0,81.38,6.05264
0,26.66,8.26498,-100,91,58.278,0,4025,676.074,0,0,0,0,4025,676.074,0,36.62,2.05962,0,81.5,6.04712
0,26.92,8.10454,-100,91,58.11,0,4015,665.288,0,0,0,0,4015,665.288,0,51.8,2.06298,0,81.26,6.03582
0,75.32,8.3855,-100,87,58.642,0,4008,712.926,0,0,0,0,4008,712.926,0,51.58,2.17068,0,81.14,6.36146
0,27.92,8.3105,-100,91,60.323,0,8025,714.683,0,0,0,0,8025,714.683,0,51.8,2.12002,0,81.26,6.62022
0,33.16,8.59382,-100,93,57.812,0,7877,719.824,0,0,0,0,7877,719.824,0,51.86,2.06798,0,81.34,6.31452
0,37.12,9.06504,-100,93,58.429,0,8054,723.209,0,0,0,0,8054,723.209,0,31.98,2.17764,0,81.34,6.55932
